experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
scgpt_head_only,scgpt,results/scgpt_head_only/20251222_205856,True,0.1349468500390367,0.35745600864812926,0.44483814785898745,0.4822533181190319,0.2295838564441051,0.3666446459672092,0.5427301663563749,0.6007447000180169,0.6281304426160591,0.1349468500390367,0.24859451101314284,0.27802097585887375,0.2890728002244319,0.1282558887819269,0.35047570456208543,16651,16651,282,0.21085672522961596,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.5805288461538461, 0.4306306306306306, 0.3528233880656788, 0.3069069069069069, 0.27222489187890436, 0.24604604604604605, 0.22618843315599793, 0.21021021021021022, 0.1994127068873465, 0.19051051051051052, 0.18213583751910897, 0.1735735735735736, 0.1673288367365795, 0.16241956241956243, 0.15759128763613067, 0.1521021021021021, 0.14745990249417085, 0.14287620954287622, 0.1389556201795423, 0.1349468500390367]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251222_205856,False,0.13578764038195903,0.3558945408684163,0.4405741396913098,0.4800312293555943,0.22973044661982261,0.36484295237523273,0.5424899405441115,0.5984024983484475,0.6278301603507297,0.13578764038195903,0.24838645099250647,0.2769924721237999,0.2886546639649751,0.12762660995860892,0.34760706064297286,16651,16651,282,0.20116473359890827,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.484375, 0.39039039039039036, 0.3315979175010012, 0.29219219219219217, 0.26309466602594905, 0.24024024024024024, 0.22052514158228934, 0.20645645645645647, 0.19300587293112653, 0.1839039039039039, 0.1741646647739681, 0.16846846846846847, 0.16307862884597615, 0.15787215787215786, 0.1530269058295964, 0.14947447447447448, 0.1459054617395605, 0.14180847514180847, 0.1380073334176255, 0.13578764038195903]}"
scgpt_finetune_cls,scgpt,results/scgpt_head_only_cls/20251222_211524,True,0.18557443997357517,0.4284427361720017,0.506095729986187,0.5445318599483514,0.2884729026237044,0.3808179688907573,0.5825475947390547,0.6447060236622425,0.6747342501951835,0.18557443997357517,0.31157562481519663,0.3377748759709779,0.3491211052898756,0.13854455258435372,0.36517184914298456,16651,16651,282,0.31826935144544366,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.8221153846153846, 0.6432432432432432, 0.5482579094913896, 0.47477477477477475, 0.4271984622777511, 0.3935935935935936, 0.3631371203020422, 0.3375375375375375, 0.3155365723438334, 0.2946546546546547, 0.27724393972483075, 0.2618618618618619, 0.2482675783054606, 0.2362934362934363, 0.22501601537475976, 0.21546546546546547, 0.20723521514873172, 0.19953286619953287, 0.1926918700214945, 0.18557443997357517]}"
scgpt_finetune_cls,scgpt,results/scgpt_head_only_cls/20251222_211524,False,0.17632574620142935,0.4206954537265029,0.5012311572878506,0.5402678517806738,0.28014478848212565,0.3732508558044562,0.5763617800732689,0.6371389105759414,0.668848717794727,0.17632574620142935,0.3030214974146527,0.3301604481160329,0.34169105830114715,0.1312153567821255,0.35968862742708274,16651,16651,282,0.29509891537124444,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.7127403846153846, 0.5813813813813814, 0.5014016820184221, 0.44294294294294295, 0.3957232099951946, 0.36356356356356356, 0.3356787369143642, 0.3111111111111111, 0.2932461292044848, 0.27735735735735734, 0.26173837082332385, 0.24634634634634633, 0.23487018386768918, 0.22316602316602316, 0.21372517616912234, 0.20442942942942943, 0.19734331943757508, 0.19059059059059058, 0.18282968769755975, 0.17632574620142935]}"
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251222_221307,True,0.03333133145156447,0.10587952675514985,0.1448561647949072,0.17296258482973995,0.06509595209973565,0.11873160771124858,0.26592997417572517,0.38826496907092667,0.4480211398714792,0.03333133145156447,0.06847264609978806,0.08163831049518414,0.08994540867131046,0.01108485247074305,0.04705528474842046,16651,16651,282,0.05381736491651187,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.09254807692307693, 0.08108108108108109, 0.06768121746095314, 0.08648648648648649, 0.08049014896684287, 0.07247247247247247, 0.06521366054573537, 0.05930930930930931, 0.057127602776294716, 0.056096096096096094, 0.053177549683336975, 0.05025025025025025, 0.04721426591518063, 0.044701844701844705, 0.04244074311338885, 0.04024024024024024, 0.038154454885889914, 0.03643643643643644, 0.03483373372107725, 0.03333133145156447]}"
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251222_221307,False,0.03459251696594799,0.10714071226953337,0.1461774067623566,0.17542489940544112,0.0664787757635034,0.12335595459732149,0.26502912737973694,0.38778451744639963,0.44682001081016154,0.03459251696594799,0.0697418248727958,0.08292149930504465,0.09155700426522885,0.011478880320642548,0.0475892060596908,16651,16651,282,0.05617846667784697,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0985576923076923, 0.08708708708708708, 0.07448938726471765, 0.0891891891891892, 0.08385391638635271, 0.07407407407407407, 0.06710142440363824, 0.06156156156156156, 0.05832888414308596, 0.05765765765765766, 0.05525223848001747, 0.052452452452452454, 0.049339369860482304, 0.04676104676104676, 0.04444266495836002, 0.041891891891891894, 0.039708895640500244, 0.03770437103770437, 0.03609811607029966, 0.03459251696594799]}"
scgpt,scgpt,results/scgpt/20251222_204341,True,0.06924509038496186,0.20082877905230917,0.25746201429343585,0.2877905230917062,0.12565835695077182,0.2133805777430785,0.4037595339619242,0.4748063179388625,0.5093387784517447,0.06924509038496186,0.13551086922741784,0.1545940142768937,0.1635491888405361,0.07161549288148986,0.20046489141547394,16651,16651,282,0.09667710857736612,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.21995192307692307, 0.16636636636636637, 0.1473768522226672, 0.13393393393393394, 0.12181643440653532, 0.1113113113113113, 0.10588639093873348, 0.10045045045045045, 0.09610250934329952, 0.09213213213213213, 0.08964839484603625, 0.08638638638638639, 0.08343342880901783, 0.08056628056628057, 0.07823510570147342, 0.07612612612612613, 0.07496643821098001, 0.07327327327327328, 0.07093184979137691, 0.06924509038496186]}"
scgpt,scgpt,results/scgpt/20251222_204341,False,0.07398955017716653,0.210077472824455,0.2702540387964687,0.30064260404780496,0.13323729067227955,0.22743378776049486,0.41955438111825116,0.48717794727043423,0.5185274157708246,0.07398955017716653,0.14318387939930025,0.16340426624089519,0.17238398686902495,0.07435346838142097,0.20707352116638275,16651,16651,282,0.10202993339904913,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.2283653846153846, 0.17777777777777778, 0.1485782939527433, 0.13693693693693693, 0.12758289283998078, 0.11711711711711711, 0.10949030375836623, 0.1063063063063063, 0.10264281900694074, 0.09897897897897898, 0.09554487879449662, 0.0920920920920921, 0.08860759493670886, 0.087001287001287, 0.0848814862267777, 0.08213213213213214, 0.07970041687274783, 0.07774441107774441, 0.07630547477557213, 0.07398955017716653]}"
