experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
scgpt_head_only,scgpt,results/scgpt_head_only/20251221_174110,True,0.0019120458891013384,0.009833378858235455,0.02376399890740235,0.03414367659109533,0.007819335509857224,0.07156514613493581,0.18929254302103252,0.2616771373941546,0.30019120458891013,0.0019120458891013384,0.005978881653380878,0.010626920492915531,0.013699222357349782,0.005847953216374269,0.021901852846401716,3661,3661,57,0.0007845053150081871,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00078064012490242, 0.0006830601092896175, 0.0006071645415907711, 0.000546448087431694, 0.0004967709885742673, 0.0004553734061930783, 0.0004203446826397646, 0.00117096018735363, 0.0014571948998178506, 0.0020491803278688526, 0.0019286403085824494, 0.0021250758955676987, 0.0020132297958009777, 0.0019120458891013384]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251221_174110,False,0.0019120458891013384,0.021305654192843484,0.03851406719475553,0.04206500956022945,0.011470432659998352,0.07511608850040973,0.22343621961212784,0.2838022398251844,0.3135755258126195,0.0019120458891013384,0.01170271735965287,0.01751832960680737,0.01855785526086826,0.005847953216374269,0.0348945273018163,3661,3661,57,0.0006937590893776798,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0009107468123861566, 0.00078064012490242, 0.0006830601092896175, 0.0006071645415907711, 0.000546448087431694, 0.0004967709885742673, 0.0004553734061930783, 0.0004203446826397646, 0.00078064012490242, 0.001092896174863388, 0.0010245901639344263, 0.0012857602057216328, 0.0018214936247723133, 0.0020132297958009777, 0.0019120458891013384]}"
scgpt,scgpt,results/scgpt/20251221_173608,True,0.002185195301830101,0.019393608303742146,0.028134389511062553,0.03223163070199399,0.009061948552524898,0.07101884730947829,0.210598197213876,0.28025129745971045,0.30975143403441685,0.002185195301830101,0.010278978194927969,0.013229868841420508,0.014440383386500284,0.006683375104427736,0.0325031328320802,3661,3661,57,0.0016970940582218756,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.00546448087431694, 0.00273224043715847, 0.0018214936247723133, 0.001366120218579235, 0.001092896174863388, 0.0018214936247723133, 0.00156128024980484, 0.001366120218579235, 0.0018214936247723133, 0.001639344262295082, 0.0014903129657228018, 0.001366120218579235, 0.0012610340479192938, 0.00156128024980484, 0.0014571948998178506, 0.0017076502732240437, 0.0019286403085824494, 0.0018214936247723133, 0.0023008340523439745, 0.002185195301830101]}"
scgpt,scgpt,results/scgpt/20251221_173608,False,0.0019120458891013384,0.010652827096421742,0.028680688336520075,0.03824091778202677,0.008640409637404995,0.07730128380223983,0.18000546298825457,0.2573067467904944,0.3004643540016389,0.0019120458891013384,0.006483925496559115,0.01243855417194955,0.015254372699855467,0.005847953216374269,0.02287130797226278,3661,3661,57,0.000528266974594848,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006830601092896175, 0.0006071645415907711, 0.000546448087431694, 0.0004967709885742673, 0.0004553734061930783, 0.0004203446826397646, 0.00078064012490242, 0.0007285974499089253, 0.0006830601092896175, 0.0009643201542912247, 0.0015179113539769277, 0.001725625539257981, 0.0019120458891013384]}"
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251221_174627,True,0.002185195301830101,0.018847309478284623,0.03113903305107894,0.04233815897295821,0.010220232133643769,0.07812073204042612,0.2032231630701994,0.27588090685605027,0.3225894564326687,0.002185195301830101,0.010084024958200431,0.014195526489102253,0.01749816545822415,0.006335282651072124,0.0332797198079596,3661,3661,57,0.0011356750270583894,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.00546448087431694, 0.00273224043715847, 0.0018214936247723133, 0.001366120218579235, 0.001092896174863388, 0.0009107468123861566, 0.00078064012490242, 0.0006830601092896175, 0.0006071645415907711, 0.000546448087431694, 0.0004967709885742673, 0.0004553734061930783, 0.0004203446826397646, 0.00078064012490242, 0.0007285974499089253, 0.0006830601092896175, 0.0009643201542912247, 0.0015179113539769277, 0.0023008340523439745, 0.002185195301830101]}"
scgpt_lora_head,scgpt,results/scgpt_lora_head/20251221_174627,False,0.0019120458891013384,0.009013930620049166,0.020213056541928436,0.0292269871619776,0.006773563472552819,0.06910680142037695,0.23190385140671949,0.28489483747609945,0.3157607211144496,0.0019120458891013384,0.005443079631065696,0.009136884570093342,0.011775177649020202,0.005847953216374269,0.020686015634323908,3661,3661,57,0.001969749073178657,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.00546448087431694, 0.00546448087431694, 0.0036429872495446266, 0.00273224043715847, 0.002185792349726776, 0.0018214936247723133, 0.00156128024980484, 0.001366120218579235, 0.0012143290831815423, 0.001092896174863388, 0.0009935419771485345, 0.0009107468123861566, 0.002101723413198823, 0.00195160031225605, 0.0018214936247723133, 0.0017076502732240437, 0.0016072002571520412, 0.0015179113539769277, 0.0020132297958009777, 0.0019120458891013384]}"
