experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
logreg,logreg,results/logreg/20251221_163423,True,0.0,0.0,0.0,0.0,0.0,0.4329418191750888,0.6233269598470363,0.6634799235181644,0.6834198306473641,0.0,0.0,0.0,0.0,0.0,0.0,3661,3661,57,0.0,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
logreg,logreg,results/logreg/20251221_163423,False,0.0,0.0,0.0,0.0,0.0,0.4698169898934717,0.6394427751980333,0.67549849767823,0.6897022671401256,0.0,0.0,0.0,0.0,0.0,0.0,3661,3661,57,0.0,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
pca,pca,results/pca/20251221_163239,True,0.17590822179732313,0.40617317672767006,0.4815624146408085,0.5165255394700902,0.2738881084619954,0.3903305107894018,0.5869980879541109,0.6462715105162524,0.6771373941546026,0.17590822179732313,0.29562376144095664,0.3210372404225183,0.331366092999471,0.1745229797051912,0.3999853485202875,3661,3661,57,0.2501552743003321,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6939890710382514, 0.49453551912568305, 0.3970856102003643, 0.3483606557377049, 0.3092896174863388, 0.28415300546448086, 0.2654176424668228, 0.25, 0.23800850030358228, 0.2262295081967213, 0.2185792349726776, 0.2099271402550091, 0.20386717108028585, 0.19867291178766588, 0.19089253187613844, 0.1864754098360656, 0.18418514946962392, 0.18214936247723132, 0.18032786885245902, 0.17590822179732313]}"
pca,pca,results/pca/20251221_163239,False,0.18191750887735592,0.41546025676044795,0.49166894291177277,0.5252663206774105,0.2810344341688237,0.39579349904397704,0.5935536738596012,0.6541928434853865,0.6866976236001092,0.18191750887735592,0.3034501828917866,0.329005221776577,0.33892621179986304,0.1789537963719403,0.40987313018813776,3661,3661,57,0.25736819360504826,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6666666666666666, 0.5136612021857924, 0.40619307832422585, 0.3551912568306011, 0.3114754098360656, 0.2923497267759563, 0.28024980483996875, 0.2629781420765027, 0.2459016393442623, 0.23934426229508196, 0.2290114257327372, 0.2167577413479053, 0.20849096258932326, 0.20374707259953162, 0.19854280510018216, 0.19740437158469945, 0.1915782706525233, 0.18670309653916212, 0.18349151567443198, 0.18191750887735592]}"
